"bank_name"
"123VENTURE SA"
"1770 CAPITAL PARTNERS"
"1818 GESTION"
"1ST MACRO BANK INC A RURAL BANK"
"1ST NATIONAL BANK ST LUCIA LIMITED"
"1ST VALLEY BANK INC A DEVELOPMENT BANK"
"2020 PATRIMOINE FINANCE"
"21 SOCIETE CENTRALE POUR LINDUSTRIE"
"2B TRADING B V"
"2I2C ASSET MANAGEMENT"
"3 BANKEN GENERALI INVESTMENT GESELLSCHAFT M B H"
"3 BANKEN WOHNBAUBANK AG"
"3 CAPITAL HOLDINGS LTD"
"3 CAPITAL TRADING LUXEMBOURG SARL"
"3 SUISSES INTERNATIONAL"
"321 CREDITO INSTITUICAO FINANCEIRA DE CREDITO S A"
"323 TRADING B V"
"360 AM"
"360 ASSET MANAGERS"
"360 TREASURY SYSTEMS AG"
"38X INVESTMENT PARTNERS"
"3GT ACTIVE TRADING FUNDS PCC LTD"
"3V CAPITAL LIMITED"
"42 FINANCIAL SERVICES"
"886 AG"
"90 WEST ASSET MANAGEMENT LTD"
"9STREET CAPITAL MARKETS B V"
"A 2 GESTION SAS"
"A A ANTHONY AND CO SDN BHD"
"A AND A SECURITIES INC"
"A AND CE GLOBAL FINANCE A S"
"A B P SIM MILANO"
"A B S WHITE AND CO LTD"
"A BEST FOUR S R L"
"A C C STAFF CREDIT UNION LIMITED"
"A C GIRARDI E C SIM"
"A C MACPHERSON AND CO INC"
"A F M SHAMSUDDIN"
"A G I E S R L"
"A G SECURITIES"
"A I CREDIT FUSION INC"
"A N S A C CREDIT UNION LIMITED"
"A ONE INVESTMENT COMPANY LIMITED"
"A P MOLLER MAERSK"
"A PLUS FINANCE SA"
"A S ROMA SPA"
"A S SAULES INVESTICIJAS"
"A S T I CREDIT UNION LIMITED"
"A SARRIS SECURITIES S A"
"A Sundvall A s"
"A T DE CASTRO SECURITIES CORPORATION"
"A V I P ASSURANCE VIE ET PREVOYANCE SA"
"A VISION PRESTACAO DE SERVICOS"
"A2A TRADING SRL"
"A3E CAPITAL SICAV P L C"
"A3M ASSOCIATION DE MOYENS MALAKOFF MEDERIC"
"AAA SHARES PTY LTD"
"AAA SOUTHEAST EQUITIES INC"
"AACHENER BANK EG"
"AACHENER BAUSPARKASSE AKTIENGESELLSCHAFT"
"Aachener Grundvermoegen kapitalanlagegesellschaft Mit Beschrankter Haftung"
"AADHAR SECURITIES PRIVATE LIMITED"
"AAGUS FINANCIAL SERVICES GROUP N V"
"AALBERTS INDUSTRIES N V"
"Aareal Bank "
"AAREAL BANK AG"
"AAREAL BANK AG DUBLIN BRANCH"
"AAREAL BANK AG PARIS BRANCH"
"AAREAL BANK AG ROMA BRANCH"
"Aargauische Kantonalbank "
"AASEN SPAREBANK"
"AAZ FINANCES SA"
"AB BANK LIMITED"
"AB BANK RWANDA LTD"
"AB CAPITAL AND INVESTMENT CORPORATION"
"AB CAPITAL LIMITED"
"AB CITADELE BANKAS"
"AB DNB BANKAS"
"AB FMI FINASTA"
"AB INTERNATIONAL FINANCE LTD"
"AB LV CAPITAL MARKETS"
"AB SEB bankas "
"ABACO CASA DE BOLSA S A DE C V"
"ABACO CIA FINANCIERA S A"
"ABACUS CAPITAL AND INVESTMENT CORPORATION"
"ABACUS GMBH"
"ABACUS SECURITIES CORPORATION"
"ABADI PRISMA EKAMANDIRI PT"
"ABADI SEKURITAS ADIMASA PT"
"Abanca Corporacion Bancaria SA  (ABANCA)"
"ABANCA CORPORACION BANCARIA SA SUCURSAL EM PORTUGAL"
"Abank "
"Abanka "
"ABAX SECURITIES S A"
"ABAXBOURSE"
"Abay Bank "
"ABAY BANK S C"
"ABB FINANCE B V"
"ABBEY CAPITAL LTD"
"ABBEY NATIONAL FRANCE"
"ABBEY NATIONAL PLC"
"ABBEY NATIONAL TREASURY SERVICES PLC PARIS BRANCH"
"ABBEYFEALE CREDIT UNION LIMITED"
"ABBEYLEIX CREDIT UNION LIMITED"
"ABC ARBITRAGE ASSET MANAGEMENT"
"ABC Banking Corporation "
"ABC BANKING CORPORATION LTD"
"ABC Capital Bank "
"ABC International Bank "
"ABC INTERNATIONAL BANK PARIS BRANCH"
"ABC INTERNATIONAL BANK PLC MILAN BRANCH"
"ABC INTERNATIONAL BANK PLC ZWEIGNIEDERLASSUNG FRANKFURT AM MAIN"
"ABC INVESTMENTS"
"ABC Islamic Bank "
"ABC ISLAMIC BANK E C"
"ABCBANK GMBH"
"ABCI SECURITIES COMPANY LIMITED"
"ABDUL HAQUE AND SONS LTD"
"ABDUL HYE"
"ABDUL KAREEM AL RAWI AND PARTNER EXCHANGE CO"
"ABDUL LATIF MIAH"
"ABDUS SAMAD"
"ABE CLEARING SAS EBA CLEARING"
"ABE CLEARING SAS EBA CLEARING SYSTEM OPERATOR"
"ABERDEEN ASSET MANAGEMENT"
"ABERDEEN ASSET MANAGEMENT ASIA LIMITED"
"ABERDEEN ASSET MANAGEMENT LTD"
"ABF ASSET MANAGEMENT"
"ABF CAPITAL MANAGEMENT"
"ABFC FINANCE"
"ABG SECURITIES LIMITED"
"ABG SUNDAL COLLIER NORGE ASA"
"ABHYUDAYA CO OPERATIVE BANK LTD"
"ABI Bank "
"ABI BANK LTD"
"Abington Bancorp "
"ABK BANK CVBA FORMERLY ANTWERPS BEROEPSKREDIET CV"
"ABK SYSTEME GESELLSCHAFT FUER AUSBILDUNG BERATUNG UND KOMMUNIKATIONSSYSTEME M B H"
"ABLV Bank "
"ABLV BANK AS"
"ABLV BANK LUXEMBOURG S A"
"ABN AMRO ASIA LIMITED"
"ABN AMRO ASSET MANAGEMENT A S"
"ABN AMRO ASSET MANAGEMENT FONDSMAEGLERSELSKAB A S"
"Abn Amro Bank Botswana Ltd"
"ABN AMRO Bank Chile "
"ABN Amro Bank China "
"ABN AMRO BANK LUXEMBOURG S A"
"ABN AMRO Bank Malaysia "
"ABN AMRO BANK N V"
"ABN AMRO BANK N V BELGIAN BRANCH"
"Abn Amro Bank N V Formely Known As Fortis Bank Nederland N V"
"ABN AMRO BANK N V GERMAN BRANCH FORMELY KNOWN AS FORTIS BANK NEDERLAND NV ZWEIGNIEDERLASSUNG FRANKFURT"
"ABN AMRO BANK N V HONG KONG BRANCH"
"ABN AMRO BANK N V SHANGHAI BRANCH"
"ABN AMRO BANK N V SINGAPORE BRANCH"
"ABN AMRO Bank Poland "
"Abn Amro Business Services India Private Limited"
"ABN AMRO CLEARING BANK N V"
"Abn Amro Clearing Bank N V Frankfurt Branch Formely Known As Fortis Bank Global Clearing N V"
"ABN AMRO CLEARING BANK N V SINGAPORE BRANCH"
"ABN AMRO CLEARING SYDNEY PTY LTD FORMELY KNOWN AS FORTIS CLEARING SYDNEY PTY LTD"
"ABN AMRO CLEARING TOKYO CO LTD"
"ABN AMRO COMMUNICATIONS INTERNATIONALES"
"ABN AMRO CRAIGS LTD"
"ABN AMRO FIXED INCOME FRANCE"
"ABN AMRO FUTURES FRANCE"
"ABN Amro Group "
"ABN AMRO HOARE GOVETT ASIA CLEARING SERVICES LTD"
"ABN AMRO SECURITIES BRASIL CORRETORA DE VALORES MOBILIARIOS SA"
"ABN AMRO SECURITIES NZ LIMITED"
"ABOITIZ EQUITY VENTURES INC"
"ABR FINANCIAL B V"
"ABRAR DISCOUNTS BERHAD"
"ABRAR FUTURES SDN BHD"
"ABRUZZO 2015 RMBS S R L"
"ABRUZZO 2015 SME S R L"
"ABS BANK SPOLDZIELCZY"
"Absa Bank Mozambique "
"ABSA BANK NAMIBIA LIMITED"
"ABSA Group "
"Absa Group Limited "
"Absolut Bank "
"Absolutbank "
"ABSOLUTBANK JOINT STOCK COMPANY"
"ABSOLUTE FUNDING S R L"
"ABTSGMUENDER BANK RAIFFEISEN EG"
"Abu Dhabi Commercial Bank "
"Abu Dhabi Commercial Bank India "
"Abu Dhabi Islamic Bank "
"Abu Dhabi Islamic Bank Egypt  "
"Abu Dhabi Islamic Bank UK "
"ABUSHEIKHA EXCHANGE LLC"
"ABV INVESTICII EOOD"
"AC CAPITAL PARTNERS LTD"
"Acadiana Bancshares "
"ACBA Credit Agricole Bank "
"ACBA CREDIT AGRICOLE BANK CJSC"
"ACC Bank "
"ACC LOAN MANAGEMENT LIMITED"
"ACCEA FINANCE SOCIETE ANONYME"
"Accendo Banco "
"ACCENT AIGU B V"
"Accent Bank "
"ACCENT GRAVE B V"
"ACCENT TONIQUE B V"
"ACCENTURE"
"Accenture Insurance Services"
"ACCESBANQUE MADAGASCAR"
"Access Bank "
"Access Bank BV "
"Access Bank DR Congo "
"Access Bank Gambia "
"Access Bank Ghana "
"ACCESS BANK GHANA LIMITED"
"ACCESS BANK PLC"
"Access Bank Rwanda "
"ACCESS BANK RWANDA SA"
"Access Bank Sierra Leone "
"ACCESS BANK SIERRA LEONE LIMITED"
